trial,eval,score,best_score,params
0,3,528.4035,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
1,3,360.3322,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.3617;-0.6342
2,3,512.5221,528.4035,-0.0761;-0.0903;0.7342;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.8586
3,3,454.6269,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.9685;-0.2262;-0.6618
4,3,301.9397,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.3286;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
5,3,442.6405,528.4035,-0.0761;-0.0903;0.5241;0.4108;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
6,3,405.6989,528.4035,-0.0761;-0.0903;0.2638;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
7,3,465.0970,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.8170;0.0970;-0.6618
8,3,504.6507,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-1.0000;0.0970;-0.6618
9,3,491.8195,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;-0.2027;-0.6618
10,3,76.7657,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.7035;0.6611;-0.1437;0.4133;-0.7616;0.0970;-0.6618
11,3,422.9709,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.5683;-0.7616;0.0970;-0.6618
12,3,341.9023,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.7179;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
13,3,526.9514,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.8441;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
14,3,396.3435,528.4035,-0.0761;-0.0903;0.5241;0.5046;-0.6971;0.4984;0.6611;-0.6987;0.4133;-0.7616;0.0970;-0.6618
15,3,92.2446,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;1.0000;-0.7616;0.0970;-0.6618
16,3,473.9100,528.4035,0.1982;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.0970;-0.6618
17,3,498.8551,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.5820;-0.8067;0.4133;-0.6871;0.0970;-0.6618
18,3,436.4442,528.4035,-0.0761;-0.0903;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;0.2882;-0.6618
19,3,503.8532,528.4035,-0.0761;-0.1690;0.5241;0.6128;-0.6971;0.4984;0.6611;-0.8067;0.4133;-0.7616;-0.3902;-0.6618
